Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1996,1996,t,96100,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1997,1997,ha,8600,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1997,1997,100 g/ha,150581,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1997,1997,t,129500,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1998,1998,ha,9800,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1998,1998,100 g/ha,159723,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1998,1998,t,156529,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1999,1999,ha,5540,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1999,1999,100 g/ha,181890,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1999,1999,t,100767,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2000,2000,ha,7086,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2000,2000,100 g/ha,232169,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2000,2000,t,164515,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2001,2001,ha,5017,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2001,2001,100 g/ha,210273,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2001,2001,t,105494,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2002,2002,ha,6000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2002,2002,100 g/ha,202833,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2002,2002,t,121700,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2003,2003,ha,6800,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2003,2003,100 g/ha,178971,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2003,2003,t,121700,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2004,2004,ha,6300,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2004,2004,100 g/ha,168413,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2004,2004,t,106100,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2005,2005,ha,7500,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2005,2005,100 g/ha,159467,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2005,2005,t,119600,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2006,2006,ha,8519,I,Imputed value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2006,2006,100 g/ha,162223,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2006,2006,t,138200,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2007,2007,ha,9600,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2007,2007,100 g/ha,151563,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2007,2007,t,145500,A,Official figure,
